id_player,goals,inside_area,outside_area,right_foot,left_foot,head,other,penalties_scored
250112880,5,3,2,1,4,0,0,0
250139445,3,1,2,2,1,0,0,0
250121533,4,3,1,2,2,0,0,1
250159544,3,2,1,3,0,0,0,0
250091187,3,2,1,2,1,0,0,0
250099180,3,2,1,0,3,0,0,1
250127347,3,2,1,0,3,0,0,0
250022829,2,1,1,2,0,0,0,1
250096698,2,1,1,2,0,0,0,0
250113211,2,1,1,1,0,0,1,1
250160436,2,1,1,0,2,0,0,0
250106148,2,1,1,0,2,0,0,0
250079003,2,1,1,0,2,0,0,0
250196588,1,0,1,1,0,0,0,0
250137390,1,0,1,1,0,0,0,0
250119181,1,0,1,1,0,0,0,0
250091165,1,0,1,1,0,0,0,0
250088061,1,0,1,1,0,0,0,0
250005335,1,0,1,1,0,0,0,0
250132323,1,0,1,1,0,0,0,0
250123428,1,0,1,1,0,0,0,0
250104939,1,0,1,1,0,0,0,0
250197796,1,0,1,1,0,0,0,0
250172787,1,0,1,1,0,0,0,0
250110894,1,0,1,1,0,0,0,0
250176450,1,0,1,0,1,0,0,0
250140940,1,0,1,0,1,0,0,0
250130406,1,0,1,0,1,0,0,0
250118504,1,0,1,0,1,0,0,0
250063984,1,0,1,0,1,0,0,0
250106939,1,0,1,0,1,0,0,0
250194573,1,0,1,0,1,0,0,0
250016833,5,5,0,5,0,0,0,3
250105927,5,5,0,5,0,0,0,2
250002096,5,5,0,2,2,0,1,0
250102035,4,4,0,3,1,0,0,2
250080553,3,3,0,3,0,0,0,2
250146674,3,3,0,3,0,0,0,0
250132811,3,3,0,3,0,0,0,0
250153402,3,3,0,2,1,0,0,0
250121294,3,3,0,2,1,0,0,0
250103758,3,3,0,2,0,0,0,0
250147342,3,3,0,1,2,0,0,0
250127111,3,3,0,1,1,1,0,1
250101534,3,3,0,0,3,0,0,0
250081223,2,2,0,2,0,0,0,0
250081555,2,2,0,2,0,0,0,0
250187067,2,2,0,2,0,0,0,0
250174063,2,2,0,1,1,0,0,0
250099258,2,2,0,1,1,0,0,0
250063394,2,2,0,1,1,0,0,0
250169706,2,2,0,1,0,0,1,0
250171301,2,2,0,0,1,1,0,0
250171184,2,2,0,0,1,1,0,0
250135339,2,2,0,0,1,1,0,0
250040471,2,2,0,0,0,2,0,0
250028211,2,2,0,0,0,2,0,0
250187238,1,1,0,1,0,0,0,1
250130414,1,1,0,1,0,0,0,1
250097909,1,1,0,1,0,0,0,1
250064188,1,1,0,1,0,0,0,1
250017824,1,1,0,1,0,0,0,1
250145803,1,1,0,1,0,0,0,1
250079677,1,1,0,1,0,0,0,1
250196712,1,1,0,1,0,0,0,0
250189506,1,1,0,1,0,0,0,0
250172668,1,1,0,1,0,0,0,0
250171055,1,1,0,1,0,0,0,0
250169705,1,1,0,1,0,0,0,0
250153849,1,1,0,1,0,0,0,0
250144965,1,1,0,1,0,0,0,0
250144297,1,1,0,1,0,0,0,0
250124460,1,1,0,1,0,0,0,0
250123677,1,1,0,1,0,0,0,0
